file,type,time,measure
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,spindle green,0,4370.4803
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,cyto green,0,2408.5207
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,mito green,0,3024.5623
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,cell green,0,2697.1464
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,spindle red,0,5960.7989
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,cyto red,0,3768.9552
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,mito red,0,4729.1583
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-01.tif,cell red,0,4155.9154
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,spindle green,1,2172.7953
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,cyto green,1,1451.5609
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,mito green,1,4207.1429
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,cell green,1,2238.8819
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,spindle red,1,4058.8279
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,cyto red,1,2695.5596
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,mito red,1,4052.6195
HeLa_CLTA-FKBP-GFP_GTSE1_WT_001-14.tif,cell red,1,3185.6954
