 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.732,1216.892,111.665,897,1642,5758.066,2793985
2,1.583,3782.971,216.956,3081,4357,5987.518,2905322
3,1.583,2522.490,201.940,1986,3077,3992.484,1937272
4,1.583,2787.799,296.127,1929,3553,4412.404,2141030
5,173.823,2872.864,532.448,1414,4707,499369.338,242308878
6,4.732,895.096,131.005,521,1433,4235.395,2055140
7,1.583,4420.184,208.976,3778,5018,6996.069,3394701
8,1.583,2827.370,421.556,1829,3732,4475.034,2171420
9,1.583,3090.163,531.276,1769,4033,4890.971,2373245
10,173.823,3234.002,773.044,1291,5267,562143.196,272768624
