 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,5.886,1405.277,117.560,1050,1848,8271.281,4013472.000
2,1.583,6479.952,483.336,5350,7691,10256.178,4976603.000
3,1.583,4584.301,466.522,3652,5632,7255.826,3520743.000
4,1.583,4473.852,228.615,3869,5197,7081.012,3435918.000
5,159.755,5000.060,896.831,2582,7956,798785.840,387594684.000
6,5.886,914.704,72.289,664,1164,5383.831,2612395.000
7,1.583,4094.582,303.192,3349,4934,6480.721,3144639.000
8,1.583,2915.444,384.981,2043,3675,4614.434,2239061.000
9,1.583,3123.939,185.227,2605,3676,4944.431,2399185.000
10,159.755,3206.224,619.742,1374,4934,512211.064,248540066.000
