file,type,time,measure
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,spindle green,0,5074.6745
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,cyto green,0,3179.0235
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,mito green,0,3068.5743
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,cell green,0,3594.7831
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,spindle red,0,3179.8779
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,cyto red,0,2000.7399
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,mito red,0,2209.2347
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-01.tif,cell red,0,2291.5198
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,spindle green,1,4254.3758
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,cyto green,1,2830.0529
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,mito green,1,5889.3446
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,cell green,1,4039.272
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,spindle red,1,2962.0234
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,cyto red,1,2023.0781
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,mito red,1,2772.6498
HeLa_CLTA-FKBP-GFP_GTSE1_WT_005-10.tif,cell red,1,2486.0092
