 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,8.977,2302.597,120.537,1955,2870,20670.852,10030113
2,1.583,7816.473,462.171,6858,9071,12371.563,6003051
3,1.583,4708.486,369.096,3943,5783,7452.380,3616117
4,1.583,5961.703,433.190,4919,7264,9435.917,4578588
5,163.496,5740.731,1197.299,2609,9197,938585.050,455429425
6,8.977,806.433,75.917,575,1124,7239.498,3512820
7,1.583,3122.893,146.774,2705,3622,4942.776,2398382
8,1.583,2139.007,372.927,1507,2931,3385.524,1642757
9,1.583,2559.773,158.195,2139,3059,4051.495,1965906
10,163.496,2390.449,478.917,1184,3858,390828.248,189641508
