 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.164,1779.192,91.699,1521,2055,3850.036,1868152
2,1.583,3446.223,178.416,3024,4406,5454.527,2646699
3,1.583,2642.083,378.164,1866,3456,4181.771,2029120
4,1.583,4553.271,267.020,3736,5783,7206.713,3496912
5,196.187,3492.218,841.705,1662,8018,685129.335,332445162
6,2.164,1301.856,114.250,953,1631,2817.117,1366949
7,1.583,8165.628,316.618,7193,8956,12924.190,6271202
8,1.583,4328.217,570.299,3095,5690,6850.509,3324071
9,1.583,5516.060,400.577,4305,6475,8730.573,4236334
10,196.187,5808.159,1724.181,1537,9928,1139488.054,552913547
