file,type,time,measure
N_GTSE1-mCherry_Dark_Mito_005-01.tif,spindle green,0,3055.4331
N_GTSE1-mCherry_Dark_Mito_005-01.tif,cyto green,0,1789.9305
N_GTSE1-mCherry_Dark_Mito_005-01.tif,mito green,0,2175.5776
N_GTSE1-mCherry_Dark_Mito_005-01.tif,cell green,0,2245.6039
N_GTSE1-mCherry_Dark_Mito_005-01.tif,spindle red,0,2183.1649
N_GTSE1-mCherry_Dark_Mito_005-01.tif,cyto red,0,1272.0542
N_GTSE1-mCherry_Dark_Mito_005-01.tif,mito red,0,1663.0555
N_GTSE1-mCherry_Dark_Mito_005-01.tif,cell red,0,1626.8311
N_GTSE1-mCherry_Dark_Mito_005-27.tif,spindle green,1,2130.8176
N_GTSE1-mCherry_Dark_Mito_005-27.tif,cyto green,1,1322.6509
N_GTSE1-mCherry_Dark_Mito_005-27.tif,mito green,1,2322.9986
N_GTSE1-mCherry_Dark_Mito_005-27.tif,cell green,1,1931.3217
N_GTSE1-mCherry_Dark_Mito_005-27.tif,spindle red,1,1455.9813
N_GTSE1-mCherry_Dark_Mito_005-27.tif,cyto red,1,841.6232
N_GTSE1-mCherry_Dark_Mito_005-27.tif,mito red,1,1129.6896
N_GTSE1-mCherry_Dark_Mito_005-27.tif,cell red,1,1097.8146
