 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,3.545,1146.662,78.135,890,1431,4064.588,1972259.000
2,1.583,3270.887,155.163,2836,3694,5177.013,2512041.000
3,1.583,2856.566,403.066,1962,3591,4521.246,2193843.000
4,1.583,2726.991,116.974,2334,3051,4316.159,2094329.000
5,197.826,2747.008,356.044,1517,4028,543429.271,263688070.000
6,3.545,785.260,66.945,584,999,2783.520,1350647.000
7,1.583,5258.016,162.413,4774,5689,8322.152,4038156.000
8,1.583,3685.152,221.144,2999,4201,5832.694,2830197.000
9,1.583,4392.784,257.684,3905,5151,6952.702,3373658.000
10,197.826,4016.090,843.314,1175,6048,794486.522,385508527.000
