 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.421,2576.829,181.343,2108,3115,11391.094,5527298
2,1.583,5747.918,329.764,4899,6570,9097.547,4414401
3,1.583,5395.964,684.752,4030,6986,8540.490,4144100
4,1.583,6315.526,234.708,5771,7047,9995.932,4850324
5,179.880,5856.525,913.432,2917,11102,1053470.175,511175110
6,4.421,2890.635,506.942,2020,4654,12778.302,6200413
7,1.583,4259.447,228.922,3683,4870,6741.662,3271255
8,1.583,3916.375,817.483,2614,5399,6198.663,3007776
9,1.583,4114.448,300.152,3360,4984,6512.164,3159896
10,179.880,3929.630,749.455,1719,11102,706860.787,342989910
