 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,1.212,1443.146,121.315,1136,1805,1748.800,848570
2,1.583,5402.632,192.509,4881,6096,8551.043,4149221
3,1.583,3815.452,226.505,3251,4446,6038.926,2930267
4,1.583,6981.391,545.664,5855,8624,11049.833,5361708
5,208.841,5221.312,1243.767,2074,9843,1090425.318,529106846
6,1.212,1324.464,134.794,979,1733,1604.982,778785
7,1.583,8381.197,210.938,7754,9141,13265.383,6436759
8,1.583,4838.409,368.245,3827,5745,7658.017,3715898
9,1.583,5895.904,514.461,4831,7118,9331.773,4528054
10,208.841,6183.898,1506.691,2040,9694,1291453.145,626651536
