 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,578.272,106.181,375,847,1315.028,97728.000
2,2.274,289.172,37.165,196,399,657.595,48870.000
3,2.274,643.296,171.949,307,1082,1462.896,108717.000
4,2.274,507.112,191.563,223,934,1153.206,85702.000
5,2.274,220.722,45.381,128,340,501.936,37302.000
6,2.274,198.964,64.575,97,393,452.458,33625.000
7,2.274,624.077,252.619,236,1168,1419.191,105469.000
8,2.274,247.621,49.407,143,394,563.107,41848.000
9,2.274,318.657,132.229,136,726,724.646,53853.000
10,2.274,181.740,24.976,117,269,413.288,30714.000
11,2.274,227.686,43.959,153,400,517.774,38479.000
12,2.274,630.278,230.221,342,1484,1433.293,106517.000
13,2.274,169.692,21.409,117,243,385.891,28678.000
14,2.274,200.006,34.877,104,292,454.826,33801.000
15,2.274,378.160,76.098,242,673,859.960,63909.000
16,2.274,181.290,23.246,121,256,412.265,30638.000
17,2.274,189.444,27.938,135,277,430.807,32016.000
18,2.274,293.882,90.476,170,707,668.306,49666.000
19,2.274,112.592,15.938,70,159,256.041,19028.000
20,2.274,115.491,18.343,70,168,262.634,19518.000
21,2.274,117.751,16.069,79,163,267.774,19900.000
