 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,236.479,26.774,155,291,537.769,39965.000
2,2.274,758.970,116.495,438,970,1725.948,128266.000
3,2.274,373.213,45.755,266,464,848.710,63073.000
4,2.274,246.657,23.623,177,291,560.913,41685.000
5,2.274,895.763,131.166,560,1146,2037.023,151384.000
6,2.274,431.615,41.850,340,551,981.521,72943.000
7,2.274,186.864,14.014,151,225,424.941,31580.000
8,2.274,520.864,66.981,344,698,1184.478,88026.000
9,2.274,295.426,38.314,229,428,671.818,49927.000
10,2.274,124.893,13.228,99,160,284.016,21107.000
11,2.274,327.840,30.716,244,429,745.530,55405.000
12,2.274,254.959,34.724,186,373,579.792,43088.000
13,2.274,122.385,11.709,95,153,278.310,20683.000
14,2.274,286.367,31.054,223,396,651.217,48396.000
15,2.274,221.734,19.559,165,274,504.237,37473.000
16,2.274,133.645,13.349,96,164,303.917,22586.000
17,2.274,277.266,33.772,208,375,630.521,46858.000
18,2.274,251.858,22.131,202,304,572.741,42564.000
19,2.274,114.083,11.925,87,144,259.432,19280.000
20,2.274,120.509,13.231,89,169,274.045,20366.000
21,2.274,122.302,12.949,88,159,278.122,20669.000
