 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,329.497,21.579,257,376,749.297,55685.000
2,2.274,2094.515,157.066,1823,2480,4763.061,353973.000
3,2.274,290.065,23.120,239,348,659.627,49021.000
4,2.274,408.225,30.059,317,478,928.330,68990.000
5,2.274,2494.024,217.238,1976,2971,5671.570,421490.000
6,2.274,302.893,25.967,229,369,688.799,51189.000
7,2.274,349.923,19.602,294,388,795.748,59137.000
8,2.274,1805.763,192.557,1480,2414,4106.422,305174.000
9,2.274,275.160,22.099,213,322,625.731,46502.000
10,2.274,200.036,19.307,154,252,454.894,33806.000
11,2.274,995.609,101.601,750,1322,2264.080,168258.000
12,2.274,150.675,11.174,129,179,342.644,25464.000
13,2.274,153.231,15.471,128,214,348.457,25896.000
14,2.274,826.201,84.434,632,1000,1878.835,139628.000
15,2.274,149.367,9.985,129,176,339.670,25243.000
16,2.274,189.503,16.257,146,233,430.942,32026.000
17,2.274,1038.533,81.033,818,1250,2361.690,175512.000
18,2.274,147.189,11.031,111,171,334.718,24875.000
19,2.274,134.083,12.617,104,169,304.913,22660.000
20,2.274,158.627,21.582,121,235,360.729,26808.000
21,2.274,116.065,9.497,90,142,263.939,19615.000
