 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,231.568,33.823,155,299,526.601,39135.000
2,2.274,357.071,36.758,278,463,812.002,60345.000
3,2.274,457.763,49.757,300,594,1040.983,77362.000
4,2.274,221.391,25.617,148,290,503.456,37415.000
5,2.274,289.870,31.503,207,374,659.183,48988.000
6,2.274,435.201,48.813,308,600,989.675,73549.000
7,2.274,319.260,49.614,216,438,726.019,53955.000
8,2.274,359.911,37.758,266,492,818.461,60825.000
9,2.274,712.811,106.463,493,949,1620.977,120465.000
10,2.274,140.314,18.376,95,189,319.082,23713.000
11,2.274,267.272,30.976,192,358,607.794,45169.000
12,2.274,293.740,31.367,228,380,667.983,49642.000
13,2.274,133.183,18.920,84,178,302.868,22508.000
14,2.274,293.107,44.776,198,395,666.543,49535.000
15,2.274,266.189,29.931,177,358,605.332,44986.000
16,2.274,136.059,18.039,96,173,309.407,22994.000
17,2.274,265.402,27.348,190,339,603.542,44853.000
18,2.274,273.385,35.172,190,362,621.694,46202.000
19,2.274,115.272,16.404,82,165,262.136,19481.000
20,2.274,131.751,18.543,87,182,299.611,22266.000
21,2.274,149.657,18.667,96,209,340.329,25292.000
