Original_Name	Blinded_Name
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_CLTA-FKBP-GFP_DAPI_GFPboost_tubulin_chTOGthermo_control.tif	new_blind_0012
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control 2.tif	new_blind_0008
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control 3.tif	new_blind_0011
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control 4.tif	new_blind_0003
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control 5.tif	new_blind_0006
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control 6.tif	new_blind_0007
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_control.tif	new_blind_0002
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin 2.tif	new_blind_0009
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin 3.tif	new_blind_0005
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin 4.tif	new_blind_0010
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin 5.tif	new_blind_0004
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin 6.tif	new_blind_0013
AVG_20201109_newchTOGab_3rd.mvd2 - HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_GFPboost_tubulin_chTOGthermo_rapamycin.tif	new_blind_0001
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_2_series_1.tiff	blind_0044
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_3_series_2.tiff	blind_0039
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_4_series_3.tiff	blind_0024
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_5_series_4.tiff	blind_0016
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_6_series_5.tiff	blind_0022
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_control_series_0.tiff	blind_0048
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_2_series_7.tiff	blind_0017
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_3_series_8.tiff	blind_0034
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_4_series_9.tiff	blind_0049
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_5_series_10.tiff	blind_0069
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_6_series_11.tiff	blind_0059
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_tubulin_tubulin_rapamycin_series_6.tiff	blind_0057
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_2_series_1.tiff	blind_0029
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_3_series_2.tiff	blind_0042
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_series_0.tiff	blind_0056
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_2_series_1.tiff	blind_0068
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_3_series_2.tiff	blind_0066
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_control_series_0.tiff	blind_0031
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_2_series_4.tiff	blind_0005
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_3_series_5.tiff	blind_0028
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_4_series_6.tiff	blind_0071
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_5_series_7.tiff	blind_0008
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_6_series_8.tiff	blind_0002
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_7_series_9.tiff	blind_0004
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_CHC_tubulin_rapamycin_series_3.tiff	blind_0021
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_TACC3_tubulin_control_2_series_11.tiff	blind_0036
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_TACC3_tubulin_control_3_series_12.tiff	blind_0070
20200217_CRISPR_GFP-FKBP-TACC3_IF_3rdctdctd.mvd2_HeLa_CRISPR_GFP-FKBP-TACC3_DAPI_TACC3_tubulin_control_4_series_13.tiff	blind_0052
