Original_Name	Blinded_Name
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 2_series_13.tiff	blind_0034
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 3_series_14.tiff	blind_0031
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 4_series_15.tiff	blind_0047
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 5_series_16.tiff	blind_0037
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control 6_series_17.tiff	blind_0036
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_control_series_12.tiff	blind_0038
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 2_series_19.tiff	blind_0011
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 3_series_20.tiff	blind_0041
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 4_series_21.tiff	blind_0054
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 5_series_22.tiff	blind_0008
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin 6_series_23.tiff	blind_0040
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_CHC_tubulin_rapamycin_series_18.tiff	blind_0045
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 2_series_49.tiff	blind_0052
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 3_series_50.tiff	blind_0019
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 4_series_51.tiff	blind_0028
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 5_series_52.tiff	blind_0020
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_GTSE1_tubulin_control 6_series_53.tiff	blind_0055
