 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1581.799,233.287,910,2098,3597.112,267324.000
2,2.274,1745.769,181.955,1351,2185,3969.992,295035.000
3,2.274,704.822,82.727,461,886,1602.812,119115.000
4,2.274,1718.888,446.619,702,2546,3908.861,290492.000
5,2.274,1977.302,341.608,1207,2612,4496.511,334164.000
6,2.274,655.781,53.227,544,792,1491.288,110827.000
7,2.274,1202.598,148.613,895,1515,2734.784,203239.000
8,2.274,2143.254,214.513,1563,2613,4873.899,362210.000
9,2.274,573.562,61.929,417,700,1304.317,96932.000
10,2.274,318.225,45.862,224,430,723.664,53780.000
11,2.274,701.947,90.553,481,910,1596.272,118629.000
12,2.274,525.970,70.970,379,735,1196.091,88889.000
13,2.274,418.574,56.406,262,543,951.864,70739.000
14,2.274,913.941,249.928,485,1577,2078.360,154456.000
15,2.274,550.385,79.037,404,809,1251.610,93015.000
16,2.274,245.527,34.487,178,339,558.343,41494.000
17,2.274,572.580,85.967,403,869,1302.083,96766.000
18,2.274,355.941,80.433,231,690,809.432,60154.000
19,2.274,109.438,17.020,56,163,248.869,18495.000
20,2.274,112.793,16.047,66,156,256.498,19062.000
21,2.274,129.101,17.442,86,174,293.583,21818.000
