measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1240.3438,325.0417,574.2188,1784.2188,2844.2256,85960
microtubule,2,3,1063.0156,278.2952,603.2188,1712.2188,2468.7123,74611
microtubule,3,3,1217.8594,240.81,665.2188,1649.2188,2796.6122,84521
microtubule,1,1,351.9375,60.2594,204.7031,477.7031,974.6006,29455
microtubule,2,1,293.9531,83.8907,140.7031,483.7031,851.8118,25744
microtubule,3,1,372.75,56.93,263.7031,493.7031,1018.6735,30787
microtubule,1,2,1210.2188,256.162,812.7969,1744.7969,2781.3257,84059
microtubule,2,2,1086.6875,178.8409,664.7969,1400.7969,2519.7337,76153
microtubule,3,2,1336.0781,150.3476,986.7969,1595.7969,3047.8478,92114
cytoplasm,1,3,123.375,38.6314,51.2188,207.2188,478.9125,14474
cytoplasm,2,3,133.3438,34.8218,81.2188,250.2188,500.0225,15112
cytoplasm,3,3,118.0781,31.4945,45.2188,171.2188,467.6958,14135
cytoplasm,1,1,127.4062,29.9315,74.7031,189.7031,499.1292,15085
cytoplasm,2,1,119.9219,38.9083,33.7031,187.7031,483.2801,14606
cytoplasm,3,1,108,24.7775,57.7031,187.7031,458.0341,13843
cytoplasm,1,2,469.4844,163.8865,204.7969,922.7969,1212.7333,36652
cytoplasm,2,2,406.5625,162.5923,94.7969,754.7969,1079.4888,32625
cytoplasm,3,2,347.75,106.6145,98.7969,556.7969,954.9464,28861
