measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,837.125,129.446,589.4531,1173.4531,1987.7484,60075
microtubule,2,3,817.5781,158.4208,432.4531,1155.4531,1946.3556,58824
microtubule,3,3,728.1406,84.4889,528.4531,924.4531,1756.9611,53100
microtubule,1,1,642.7812,56.1949,524.75,813.75,1590.3972,48066
microtubule,2,1,681.1094,103.9193,517.75,949.75,1671.5616,50519
microtubule,3,1,433.0625,65.4777,311.75,587.75,1146.293,34644
microtubule,1,2,657.1406,75.7313,473.8438,829.8438,1612.1359,48723
microtubule,2,2,603.4531,100.6769,412.8438,893.8438,1498.4463,45287
microtubule,3,2,391.3594,61.8831,292.8438,617.8438,1049.3128,31713
cytoplasm,1,3,85.3594,28.4068,17.4531,156.4531,395.796,11962
cytoplasm,2,3,183.7812,76.0328,89.4531,500.4531,604.2159,18261
cytoplasm,3,3,276.5625,59.3502,166.4531,429.4531,800.6912,24199
cytoplasm,1,1,159.2969,23.2194,99.75,217.75,566.5621,17123
cytoplasm,2,1,219.1406,28.6177,160.75,280.75,693.2883,20953
cytoplasm,3,1,231.1406,32.6339,160.75,295.75,718.6997,21721
cytoplasm,1,2,365.75,86.3301,224.8438,599.8438,995.0819,30074
cytoplasm,2,2,438.3125,44.1218,331.8438,544.8438,1148.7415,34718
cytoplasm,3,2,578.7344,114.4986,373.8438,925.8438,1446.1014,43705
