 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,1953.160,244.462,1367,2443,4441.611,330084.000
2,2.274,418.438,40.886,315,509,951.555,70716.000
3,2.274,229.473,94.156,113,421,521.837,38781.000
4,2.274,757.089,86.692,563,974,1721.669,127948.000
5,2.274,1989.308,272.677,1425,2435,4523.814,336193.000
6,2.274,412.781,54.419,279,540,938.691,69760.000
7,2.274,774.757,107.408,479,1010,1761.848,130934.000
8,2.274,1720.592,247.286,1112,2123,3912.736,290780.000
9,2.274,362.923,40.087,273,442,825.310,61334.000
10,2.274,149.260,19.873,114,212,339.428,25225.000
11,2.274,685.562,54.291,572,817,1559.012,115860.000
12,2.274,355.379,37.580,275,444,808.154,60059.000
13,2.274,172.402,21.480,117,223,392.054,29136.000
14,2.274,584.456,46.742,452,704,1329.090,98773.000
15,2.274,343.142,37.952,271,440,780.327,57991.000
16,2.274,147.148,14.719,101,191,334.624,24868.000
17,2.274,442.414,61.370,327,610,1006.078,74768.000
18,2.274,251.450,41.208,183,372,571.813,42495.000
19,2.274,111.876,11.776,84,139,254.413,18907.000
20,2.274,121.201,14.318,81,157,275.619,20483.000
21,2.274,130.710,12.730,101,164,297.243,22090.000
