 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,425.716,63.659,285,597,968.106,71946.000
2,2.274,899.550,186.234,543,1259,2045.635,152024.000
3,2.274,638.485,129.753,411,898,1451.956,107904.000
4,2.274,482.586,98.995,314,805,1097.431,81557.000
5,2.274,1033.000,176.473,704,1700,2349.108,174577.000
6,2.274,718.071,102.492,501,1006,1632.940,121354.000
7,2.274,392.527,57.026,211,502,892.631,66337.000
8,2.274,921.118,123.212,640,1207,2094.682,155669.000
9,2.274,733.349,121.936,496,1027,1667.683,123936.000
10,2.274,137.751,16.867,94,178,313.256,23280.000
11,2.274,265.302,31.574,198,375,603.313,44836.000
12,2.274,346.391,28.625,266,440,787.714,58540.000
13,2.274,149.592,20.654,102,208,340.181,25281.000
14,2.274,261.462,30.929,178,351,594.580,44187.000
15,2.274,343.722,38.321,230,452,781.646,58089.000
16,2.274,145.462,20.741,102,200,330.789,24583.000
17,2.274,267.219,29.410,201,358,607.673,45160.000
18,2.274,330.343,33.024,245,408,751.222,55828.000
19,2.274,117.550,19.254,62,167,267.317,19866.000
20,2.274,116.379,18.815,58,170,264.653,19668.000
21,2.274,141.071,20.325,94,189,320.805,23841.000
