measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.5278,3356.2398,912.1429,2041.4357,5248.0502,35.5912,16.6153,2.406,0.7264,440.7747,213877.009
microtubule,2,3,1.7595,4742.8086,572.8386,3775.3964,5611.5414,55.929,14.1638,1.7705,0.1362,423.6176,205551.879
microtubule,3,3,2.2091,3587.5511,740.8594,2150.6783,5210.6005,26.8296,20.701,2.1791,0.3632,410.4797,199176.973
microtubule,1,2,2.5278,83.6916,26.2983,25.2077,142.2077,35.5912,16.6153,2.406,0.7264,31.6891,15376.4784
microtubule,2,2,1.7595,245.0511,40.0594,164.8661,326.5558,55.929,14.1638,1.7705,0.1362,35.5396,17244.891
microtubule,3,2,2.2091,87.2026,21.8262,34.2147,135.1129,26.8296,20.701,2.1791,0.3632,28.1592,13663.6924
background,1,3,2.5278,530.7537,94.6923,372.608,721.8619,35.3642,16.3429,2.406,0.7264,108.8645,52824.3016
background,2,3,1.7595,902.3027,135.9276,681.4016,1274.9888,56.0198,13.8007,1.7705,0.1362,107.0248,51931.6437
background,3,3,2.2091,591.8593,179.8396,270.8463,976.3131,26.6934,21.2458,2.1791,0.3632,101.7917,49392.3832
background,1,2,2.5278,36.7675,19.5664,-8.5134,85.0422,35.3642,16.3429,2.406,0.7264,26.1769,12701.805
background,2,2,1.7595,92.8955,21.5511,49.756,140.7505,56.0198,13.8007,1.7705,0.1362,22.9967,11158.6675
background,3,2,2.2091,38.5473,19.2555,-2.0956,75.8821,26.6934,21.2458,2.1791,0.3632,23.1456,11230.924
