Original_Name	Blinded_Name
C_GTSE1-FKBP-GFP_Tubulin_stain_021.tif	blind_0014
C_GTSE1-FKBP-GFP_Tubulin_stain_022.tif	blind_0028
C_GTSE1-FKBP-GFP_Tubulin_stain_023.tif	blind_0029
C_GTSE1-FKBP-GFP_Tubulin_stain_024.tif	blind_0039
C_GTSE1-FKBP-GFP_Tubulin_stain_025.tif	blind_0021
C_GTSE1-FKBP-GFP_Tubulin_stain_026.tif	blind_0019
C_GTSE1-FKBP-GFP_Tubulin_stain_027.tif	blind_0045
C_GTSE1-FKBP-GFP_Tubulin_stain_028.tif	blind_0135
C_GTSE1-FKBP-GFP_Tubulin_stain_029.tif	blind_0055
C_GTSE1-FKBP-GFP_Tubulin_stain_030.tif	blind_0081
FKBP-GFP-MAP4_Tubulin_stain_124.tif	blind_0094
FKBP-GFP-MAP4_Tubulin_stain_125.tif	blind_0065
FKBP-GFP-MAP4_Tubulin_stain_126.tif	blind_0074
FKBP-GFP-MAP4_Tubulin_stain_127.tif	blind_0022
FKBP-GFP-MAP4_Tubulin_stain_128.tif	blind_0099
FKBP-GFP-MAP4_Tubulin_stain_129.tif	blind_0132
FKBP-GFP-MAP4_Tubulin_stain_130.tif	blind_0075
FKBP-GFP-MAP4_Tubulin_stain_131.tif	blind_0079
FKBP-GFP-MAP4_Tubulin_stain_132.tif	blind_0025
FKBP-GFP-MAP4_Tubulin_stain_133.tif	blind_0001
FKBP-GFP-MAP4_Tubulin_stain_134.tif	blind_0056
FKBP-GFP-MAP4_Tubulin_stain_135.tif	blind_0038
FKBP-GFP-MAP4_Tubulin_stain_136.tif	blind_0007
FKBP-GFP_Control_Tubulin_stain_114.tif	blind_0016
FKBP-GFP_Control_Tubulin_stain_115.tif	blind_0043
FKBP-GFP_Control_Tubulin_stain_116.tif	blind_0073
FKBP-GFP_Control_Tubulin_stain_117.tif	blind_0078
FKBP-GFP_Control_Tubulin_stain_118.tif	blind_0037
FKBP-GFP_Control_Tubulin_stain_119.tif	blind_0013
FKBP-GFP_Control_Tubulin_stain_120.tif	blind_0101
FKBP-GFP_Control_Tubulin_stain_121.tif	blind_0071
FKBP-GFP_Control_Tubulin_stain_122.tif	blind_0033
FKBP-GFP_Control_Tubulin_stain_123.tif	blind_0042
FL_GTSE1-FKBP-GFP_Tubulin_stain_001.tif	blind_0105
FL_GTSE1-FKBP-GFP_Tubulin_stain_002.tif	blind_0040
FL_GTSE1-FKBP-GFP_Tubulin_stain_003.tif	blind_0066
FL_GTSE1-FKBP-GFP_Tubulin_stain_004.tif	blind_0126
FL_GTSE1-FKBP-GFP_Tubulin_stain_005.tif	blind_0008
FL_GTSE1-FKBP-GFP_Tubulin_stain_006.tif	blind_0089
FL_GTSE1-FKBP-GFP_Tubulin_stain_007.tif	blind_0133
FL_GTSE1-FKBP-GFP_Tubulin_stain_008.tif	blind_0112
FL_GTSE1-FKBP-GFP_Tubulin_stain_009.tif	blind_0120
FL_GTSE1-FKBP-GFP_Tubulin_stain_010.tif	blind_0023
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_031.tif	blind_0046
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_032.tif	blind_0103
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_033.tif	blind_0125
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_034.tif	blind_0111
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_035.tif	blind_0093
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_036.tif	blind_0050
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_037.tif	blind_0009
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_038.tif	blind_0006
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_039.tif	blind_0049
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_040.tif	blind_0092
GTSE1(1-160)-FKBP-GFP_Tubulin_stain_041.tif	blind_0062
GTSE1(1-354)-FKBP-GFP_Tubulin_stain_052.tif	blind_0090
GTSE1(1-354)-FKBP-GFP_Tubulin_stain_053.tif	blind_0052
GTSE1(1-354)-FKBP-GFP_Tubulin_stain_054.tif	blind_0059
GTSE1(1-354)-FKBP-GFP_Tubulin_stain_055.tif	blind_0057
