Original_Name	Blinded_Name
C-GTSE1-FKBP-GFP_Tubulin_Staining_026.tif	blind_0091
C-GTSE1-FKBP-GFP_Tubulin_Staining_029.tif	blind_0036
C-GTSE1-FKBP-GFP_Tubulin_Staining_030.tif	blind_0094
C-GTSE1-FKBP-GFP_Tubulin_Staining_031.tif	blind_0093
C-GTSE1-FKBP-GFP_Tubulin_Staining_033.tif	blind_0065
C-GTSE1-FKBP-GFP_Tubulin_Staining_034.tif	blind_0041
C-GTSE1-FKBP-GFP_Tubulin_Staining_036.tif	blind_0033
FKBP-GFP-Control_Tubulin_Staining_124.tif	blind_0018
FKBP-GFP-Control_Tubulin_Staining_128.tif	blind_0083
FKBP-GFP-Control_Tubulin_Staining_131.tif	blind_0030
FKBP-GFP-Control_Tubulin_Staining_134.tif	blind_0054
FKBP-GFP-Control_Tubulin_Staining_136.tif	blind_0040
FL-GTSE1-FKBP-GFP_Tubulin_Staining_002.tif	blind_0005
FL-GTSE1-FKBP-GFP_Tubulin_Staining_003.tif	blind_0078
FL-GTSE1-FKBP-GFP_Tubulin_Staining_004.tif	blind_0055
FL-GTSE1-FKBP-GFP_Tubulin_Staining_005.tif	blind_0012
FL-GTSE1-FKBP-GFP_Tubulin_Staining_006.tif	blind_0007
FL-GTSE1-FKBP-GFP_Tubulin_Staining_007.tif	blind_0029
FL-GTSE1-FKBP-GFP_Tubulin_Staining_008.tif	blind_0074
FL-GTSE1-FKBP-GFP_Tubulin_Staining_009.tif	blind_0027
FL-GTSE1-FKBP-GFP_Tubulin_Staining_010.tif	blind_0075
FL-GTSE1-FKBP-GFP_Tubulin_Staining_011.tif	blind_0020
GTSE1(1-160)-FKBP-GFP_Tubulin_Staining_037.tif	blind_0072
GTSE1(1-160)-FKBP-GFP_Tubulin_Staining_039.tif	blind_0080
GTSE1(1-160)-FKBP-GFP_Tubulin_Staining_041.tif	blind_0067
GTSE1(1-160)-FKBP-GFP_Tubulin_Staining_043.tif	blind_0084
GTSE1(1-160)-FKBP-GFP_Tubulin_Staining_046.tif	blind_0073
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_059.tif	blind_0052
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_061.tif	blind_0023
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_062.tif	blind_0031
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_063.tif	blind_0039
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_064.tif	blind_0070
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_067.tif	blind_0071
GTSE1(1-354)-FKBP-GFP_Tubulin_Staining_068.tif	blind_0032
