 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,1.981,5554.810,526.507,4170,7069,11001.328,5338172
2,1.981,11710.823,1043.128,9405,13843,23193.343,11254101
3,1.981,5511.117,563.607,4386,8027,10914.794,5296183
4,1.981,12665.846,1247.453,9689,15061,25084.771,12171878
5,1.981,5756.462,576.227,4430,7249,11400.702,5531960
6,1.981,12550.489,1568.997,9918,16383,24856.306,12061020
7,1.981,3793.922,751.707,2557,6707,7513.881,3645959
8,1.981,8354.332,649.007,6829,10864,16545.796,8028513
9,1.981,3753.908,608.327,2475,6482,7434.634,3607506
10,1.981,9513.033,994.285,7007,11778,18840.610,9142025
11,1.981,3497.164,523.173,2329,5694,6926.151,3360775
12,1.981,9403.204,1029.111,7558,12145,18623.092,9036479
13,1.981,264.821,35.099,170,369,524.479,254493
14,1.981,422.560,45.035,295,594,836.882,406080
