 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,1.981,6878.541,626.033,5320,8977,13622.985,6610278
2,1.981,5252.713,340.994,4448,6155,10403.024,5047857
3,1.981,7968.142,1047.899,5590,10343,15780.944,7657384
4,1.981,5271.695,658.093,3618,6518,10440.618,5066099
5,1.981,7308.963,1203.404,4375,10449,14475.437,7023913
6,1.981,4689.779,478.703,3338,5616,9288.131,4506878
7,1.981,5555.248,672.577,4027,8422,11002.196,5338593
8,1.981,4294.618,392.414,3351,5192,8505.512,4127128
9,1.981,5808.156,609.773,4029,8768,11503.082,5581638
10,1.981,3801.419,438.569,2607,4655,7528.730,3653164
11,1.981,4833.207,423.238,3833,6282,9572.191,4644712
12,1.981,4535.415,236.371,3718,5205,8982.412,4358534
13,1.981,280.138,35.201,185,395,554.815,269213
14,1.981,314.812,35.228,217,450,623.486,302534
